,location,price(L),rate_persqft,area_insqft,building_status,bhk,property_type
874,Other,60.0,2222,2700,Resale,0.0,Residential Plot
875,Dammaiguda,87.0,4393,1980,Resale,0.0,Residential Plot
876,Other,90.0,5000,1800,Ready to move,3.0,Independent House
877,Mallampet,65.0,5416,1200,Ready to move,3.0,Apartment
878,Tukkuguda,39.0,2380,1638,New,0.0,Residential Plot
879,Tukkuguda,36.0,2162,1665,New,0.0,Residential Plot
880,Gachibowli,327.0,12000,2729,Ready to move,4.0,Apartment
881,Tellapur,701.0,16908,4146,Under Construction,4.0,Villa
882,Gachibowli,341.0,12003,2848,Ready to move,4.0,Apartment
883,Tellapur,640.0,16908,3786,Under Construction,4.0,Villa
884,Tellapur,803.9999999999999,16908,4756,Under Construction,4.0,Villa
885,Gachibowli,325.0,12000,2713,Ready to move,4.0,Apartment
